Published At,Transcript,Year
2011-01-01,"잘 아시죠 왜냐하면
카메라가 너무 비싸
2년마다 한 번씩 카메라를
써보신 마시겠지만 내년마다 한 번씩은
카메라를 갈아야 됩니다
찍는 양이기 때문에
일반적으로 사진을 찍는 분은
옛날에 클릭하면 똑딱이
배터리 넣으면 5년 정도 쓰신다면
그냥
40% 기준입니다
감사합니다
보통 나가면
500만원 이상 천만원
그리고 사실은 또 지금 뭐
저한테는 몇 년간 굉장히 중요한 그
밑공갈 프로젝트가
저의 어떤 차량을 많이 보았다고
생각을 합니다 그리고 또 그걸 계기로
해서 자극적인 건 안정적으로 진행할
수 있었던 그래서 저는 지금까지
국내에 있던 그
시스템을 이제
조금씩 그 해외로 옮긴 작업을 볼 그
중반부터 이렇게 했습니다 그래서
내년도에는 파닉스 전시가 여러 가지
아주 긍정적인 반응들이 지금 진행되고
있습니다 그래서 또 세계시장으로
나가는데 그 굉장히 중요한 어떤 힘이
됐고요 또 앞으로 열심히 하겠습니다
또 그동안 감사합니다
일단
밖에서도 잘 부탁드리겠습니다
여러분
들
여러가지 일이 있었던 한의원님의
내면에는 좋으신 일이 많을 거라고
믿습니다
그냥 선생님들은 앞으로의 발견
그리고 한국사회복하는
그리고 지금 여기 계신 모든 분들을
얘기하는 행복을 위해서",2011
2011-01-10,"으
222
으
we
we
won
대한 lpg 산업 환경 적응 의천 0
눌린 ltz 보급 활성화
대기환경 개선을 목적으로 2003년
9월 설립되었으며
대기 환경오염의 주범이 경유차량 의
lpg 개조 성
성기영 lpg 자동차 기술 개발 등
의 사업을 펼쳐 해 국내 lpg
산업의 건전한 발전을 주도하고
있습니다
222
대기오염은 생명과 건강에 치명적인
위협을 가 합니다
대기오염 가운데 자동차가 내뿜는
배기가스는
대도시 전체 대교 물질 배출량 중
85% 나 차지하고 있으며
서울의 경우 미세먼지 농도가 선진국
대로 시보다 두세 배나 높아 이
때문에 수도권에서만 1만 1천 명이나
조기 사망 하고 있습니다
자동차 중에서도 경유차 는 미세먼지와
질서 사람은 대량으로 쏟아내
대기를 오염시키는 주범으로 꼽힙니다
여체의 시큼한 배기가스는 사람의 몸에
들어가 기관지염이나 폐렴 심하면 폐암
까지 일으켜주는 무서운 독성물질이
포함되어 있습니다
lpg 차 동천 저공해 자동차 입니다
청정 연료인 lpg 를 사용하기
때문에
폐암이나 각종 호흡기 질환의 원인이
되는 미세먼지를 전혀 배출하지 않으며
병이나 휘발유 차량에 비해 각종 오염
물질 배출량이 월 승인 아자
깨끗하고 맑은 환경을 위해서는 가장
좋은 대안이 며
이 밖에도 lpd 자동 탄 실용성과
편 있어 경제 석 안전성까지 두루
갖추었습니다
lp 접히는 선진형 l 크기 자동차
기술 개발에 꾸준한 노력을 기울여
왔습니다
더 결과 지난해 11월 배기 가스
배출량이 획기적으로 줄어든 액상 다
전 분사 방식 의 대형버스가
성공적으로 개발되었습니다
이 기술을 적용한 1턴 함을 차도
개발 완료 단계에 이르렀으며
수영 찬 이미 상용화되어 게 도시
대교 양을 줄이는 데 앞장서
보였습니다
또한 노화된 중소형 평역 청소차 와
경유 마을버스를 lpd 자동차로
개조하는 사업을 펼쳐 듀에 핵이
가쓰라 수여 60% 이상 줄어드는
성과를 거뒀습니다
222
3기는 이미 lpd 자동차 를
선택하였습니다
유럽과 미국 일본 등 선진국에서는
lpg 자동차를 대표적인 저공해
자동차로 기존 하고
재정적 법규 적 기술력 지원책 등
다양한 지원 정책으로 보급을 확대하고
있습니다
일본은 3대 지원은 물론 격려차 를
판단은 부차적인 행동강령 까리
채택하여
lpg 자동차를 보급하는 데 힘쓰고
있습니다
그 결과 수도 투표는 맑은 하늘을 볼
수 있게 되었습니다
버스트 리아 수도 비엔나 신은 이미
30년 전부터 c 에서 운영하는 신의
벗을 lpg 벗으로 전원 하여
아름다운 도시 경관을 유지하고
있습니다
또한 영국은 친환경 차량인 lpd
자동차 홍보를 위해 여왕을 비롯한 수
상판 용 찰 lpd 자동차로 운해 나
보였습니다
으
저공해 2 lpd 자동차 포 그
효과는 탁월합니다
국내 운행 중인 경유 자동차 400만
드 중 약 10% 만 전공의 lp
자동차 로 대체될
인체에 해로운 배기가스가 연간
41,500 토니 줄어들며
약 4000원 라는 사회적 비용을
아낄 수 있습니다
하지만 현재 연료 가격은 경유 가격은
나 꿈
lpg 가격은 상대적으로 높아
경유 자동차의 소비를 폭발적으로
호출이 보겠습니다
경유 가격을 3 진국 수준으로
인상하고 청정 널린 lpg 의 가격을
낮게 재조정하는 것만이
질식할 순으로 아 카드는 대기 오염을
막을 수 있습니다
으
저공해 lpg 자동차를 보급하고
이용하는 것은 삶의 터 드린 환경을
지켜
우리 모두의 생명을 살리는 일입니다
생명과 환경을 위해
비즈 자동차는 최선의 선택입니다
we",2011
2011-01-18,"틀린말이 송해요 깨진 유리 조각은
병이든 그릇이든 재활용 봉투가 아닌
종량제 봉투에 넣어서 버려야 합니다
종양제 봉투에 넣어 버릴 때에는
반드시 유리 조각을 잘개 부셔 두꺼운
신문지나 헝겁 등으로 감싼 다음 다시
청태 튼튼하게 감아서 넣으셔야
하는데요이는 서울시내 25개
구청에서도 공거 사항으로 규정되어
있습니다 하지만이 같은 안전 수을
지키지 않 쓰레기를 버릴 경우 매우
위험할 수 있으니
아이야
2004년 48세의 환경 미원 박모
씨가 잘못 벌려진 쓰레기 봉투에 의해
왼쪽 다리에 동맥이
파열되고 2005년 8월에는 51세의
환경 미원 김모 씨가 손바닥을대 있는
사고
입었으며 심지어 손가락 신경이
파열되거나
아 좋은 링거 병과 조사기 바늘까지든
쓰레기 봉투를 들다 늘려 가된
사는데가",2011
2011-01-19,"아 아
아
으 으
최근에 그 환경부의 세계 무엇이냐
그 2011년에는 새로운 패러다임 환경부의 패러다임이 필요한 잘해야 이런
얘기가 많이 나오고 있거든요 그런 환경 후가 어떤 색으로
2011년 어떤 색으로 변할 지
아니다 환경부의 대해 이미
즉 넋 셀 과 에 앞장서는 부처다 에서 환경보호 카난 그림이라고 차 여러
차례 얘기를 했습니다
예 예 환경부 자체가 지금까지 매체의 중심으로
어 공기 물을 터 양 생태 게
밀어 인심에 접근을 1 보니까 그 그로 인해서 영향을 받는 사람들이
사실은
소중한 고객 인데 사람보다는 환경 매체의 매달려 가지고 그 시장으로부터
서 어
그 상당히 괴리된 에 정체 제대 많이 있었다고 봅니다 그럼 그런 지대의
있었다면 그것은 저는 어 회색이고 갈색 이라고 보는 거죠 그러니까 매
10 을 그 순화 시켜야 된다
으 대기 2 이렇게 추진해 왔지만
맑은 공기가 필요하다 고 하는 것은 사랑은 삶의 말 뭉게 가 중요하기
때문인데
맑음 공개 에만 매달리다 보니까 사람들이 의 로 가고 안 보이는 행정을
한다 그 잘못된 가 있었어요
얘 환경부 공무원들이 진정으로 생태계의 대해서 얘기를 한다면
생태 회복에 대해서 얘기를 한다면
어 검 철이 되면 다른 부터 보다 훨씬 많은 나무나 꽃을 심어야 된다
이렇게 얘기를 합니다 그런데 에 환경부 공무원들이 저를 피난 할지
모르지만
나무 심을 생각을 하는 사람들이 별로 없어요 그러니까 저 서류상으로
라든지
얘기는 뭐 총합계 기본계획 실천 계획
이런 계획서는 잘 세웠는데 해외 실적으로 항구로 나무에서 생명의 신비를
보고 거기에 대해서 미래엔 억새 긔 회 되는 지금 문제까지 를 내다보는
통찰력이 라든지
내주는 투시 레게 불어가 다갈색 생각을 하거든요 그러니까 아 종교계에서
도 언행일치 된 사람이 존경을 받고
공직자 등에서도 언행일치 된 사람이 그 국민에게 신뢰를 주는 것인데
예아 우리의 보니 좋은 사람들이 좋은 환경 정책을 만들어 냈다 하더라도
환경에 있는 사람들이 실천을 통해서 국민에게 입증하지 못하면 그 정책을
가리켜서 탁상행정 이라고 한 거 아니었어요
그래서 환경부는 좀더 어 녹색으로 확실하게 타기 위한 노력을 키워야
된다고 합니다 그런 의미에서 보면 은 이명박 대통령께서 녹색 쌩 장을
추천하고
녹색성장 의 선도 국가로 대한민국 2
나아갈 방향을 정한 것은 환경부 브로 방 학군
아주 대단한 행운이 온 것이다 이렇게 생각을 하거든요 그래서 그 환경 9
정책 뿐만이 아니고
정부의 보호 던 정책이 녹색 쌈을 높일 수 있도록 환경부가 목소리를 낼
수 있는 찬스가 왔는데 네 목소리를 내려고 하면 실증적 자신감을 가져야
될 거 아니에요
이런 망각과 난 되는거 아니겠어요 그래서 그 그 어느 때보다도 우리
환경과학 의원이나 환경공단 국립공원관리공단 소검 벨 기 관리 공사와 같은
2 사라의 기관 그리고 지방이나 딸의 6단으로 설치되어 있는
2 아무리 기관들과 함께
에 우리부터 를 푸르게 만드는 예전 방식에서 한 걸음 나아가 지고
모든 국민의 생산 유통 소비 이 과정에서
녹색 문화가
으 눈을 늘어나야 된다 획기적으로 준비 되어야 된다 그것이 국가 하천
진국 으로 가는 길이다
아 그것이 환경부의 임무다 그 하는 것을 장님 강조를 해 보겠습니다 이
머 어 제가 오늘은 황현희 탭의 왔습니다만 은
말한 나는 녹색 및 타일을 배워 다닌 이유가 4
더욱 그런 까닭은 인데 에 우리들이
결코 대통령이 에게 한다고 해서 그 슬 그 외 모세처럼 해체 가지고는
되지 않고 에 환경 공직자 나
환경을 사랑하는 국민들의 에 가슴 가슴마다 에 확실하게 녹색에 대한
신념을 10원 아니고
녹색 문화를 만들어 줘야 됩니다 그래서 그린스타트 네트워크 라고 하는
민간 조직도 즉 빨아 질을 하고 있는데 그 제가 생각한 것보다는
미적지근한 고 또 속도도 느려서
어 녹색성장 제대로 꽃을 피우기 위해서는
이래 가지고는 안 되지 않느냐 하는 생각을 좀 가지고 있고 예
또 초정 고등학교 붙어서
각급 직장 군대 등에 이르기까지 그 사회가 전방위적으로
이와 같은 녹색 생활에 보면 녹색 생산해 보면 너 없애고 문화혁명 을
해줘야 됩니다 물론 혁명은
그 과격한 이미지를 부여 하지만 근본적인 변화를 가져온다는 뜻으로 생명을
쓴다면
이것은 남녀노소 가리지 않고 다시 한번
참여하고 의 금발이 에 돼야 될 새로운
목표이고 가치다 저는 그렇게 생각을 하고 세계 사회가 한국에는 천막에
2 녹색성장 에 대해서 칭찬을 하고 기대를 떨고 있는데
4 우리가 잘못 하다가 왜 안 엘빈이 되면
그 국제적인 신뢰를 떨어뜨리는 문제도 있고
어 또 한국이
녹색 성경 연구소 지지 ci 란 걸 만들어 가지고 다른 나라와 녹색성장
의 경험을 공유했다 고 해 놓고도
실질적으로는 공유한 맨시 를 만들어내지 못한다면 그 국제 사회에 대해서도
도리를 탕 하지 못하는 거 뭐 닿았다는 비난을 받을 것이다
이런 생각을 하면서 좀더 그 정치적인 차원을 떠나 가지고
어 우리 이 국가의
그 미래를 열어간다 는
예 어떤 국민으로서의 에
에 공통 의식을 좀 가졌으면 하겠다는 생각을 거꾸로 서 예 있습니다
으",2011
2011-01-25,"네 저 줘 으
쌈 5
4짜 아 그렇게 서울 다해서
적신다 네가 안 거에요
아
참
제가 3종
으
to
예 오 르
4
4
4 아
쭉
아 묻히고 앉으세요 그래서 밑에 큰
사실 되게 어떻게 잘 거에요 입니다
4 생각하시오 오예
3 친구가 2개를 버틸 수 있는
거에요
독일의 붙일 수도 있어요 무게 나왔던
파워 하지 말고 쁘게 다 붙이면
됩니다
9 치료 그렇게 하거든요 1",2011
2011-01-25,"승려 이렇게 계획은
으
4
거의 각 어이가 거리가
거리가 2조 이름이 으
미궁 맥 맥 그리고
보료 쓴 거고
남이섬 세미
지금
점하는 피해도 소 뭐 먹나
첫차
자유 겪음 자 여기서 출발해서
누가 더 빨리 임 모든 부의 성공하지
볼게요 자 지금 됐나요
예 예 홍 때 어린 카메라 금 더
후에 각각
사범님이 해당
시작해보겠습니다 그렇죠
아
그 작 아 으
녁
회계처리 쪽으로 평소 더 좋다 4 예
크게 해체 세요 찍힌 거
아
로디 우
굉장히 본인 로딩에 치웠어요 어제 예
자칭 말 방법 비전의 cpu 들이
죽어야 돼요 으",2011
2011-01-25,"했지 아
으
으
으
이번
이쪽에서 그렇겠네요 출발
최고의 선 4
이연수 타이 아니야 aten 즉
세이브파일을
예 2 캠프 지금은 제약이 있죠 아
예
0
으
goo lee
아
4
으
으 으
4
아
이제 우리 픽은 레이즈 1 실제
구조적인 시점 플랫 좀 흐리고 소리임
느낌은 2점 거 이적 조영술 우선은
a 비로소 나두 다음에 씹 한번 맛
좀 힘이 든 애프터 a5 칩을 소개서
좀 시간 입고 있어서 제품에서도 좀
굴고
일을 그렇게 하는 거예요
we
자 분들 한 가지 미션이 더 있습니다
그래서 연습은 혈마 줄었다는 위에서는
키워드를
부쳐야 되요 이거 좀 더 같이
들어있어요
평화를 찍으면 뭐 어 양팀 다 한 번
세계를 보여 드릴께요 아 이거는 예를
지퍼 드릴께요
으
locker
자 이걸 팀 더워서 똑같은 걸 해본
적 없는데
qr 고대 끝까지 읽어야 해요
자 수단 남부 발을 가 잘해 사는
아르케 어린이가 보호를 필요로 합니다
수단 남부 발해가 절의 마르티 10일
찾으세요
자 이게 이 파란색의 표시는 거 있죠
파란색 또는 빨간색 목숨을 표시 된게
수집기 없네요
그렇게 해서 아래의 가자 를 찾은
친구는 4
이걸 으
이쪽에 다 분들이 이런 굉장 님
그 다음에 8a 쪽팔려서 이적 코트
1 중인데 그 다음에 다음 친구
같아서 이거 천년의 것은 수련법
아내가 자리하게 알려 줍니까 이쪽 그
저희 나오는데 입에 침도
번 옙 알려주세요 예
감사합니다
네놈
으
4 4 으
이렇게 초 처음 가지 선택 알려진
피터 였구요
outer
물론 말씀 좋아요 올리니까 놀이
필요없다고 복잡하여 괜찮습니다 5
이적 하구요 파샤 되게",2011
2011-02-01,"자 여기도 창애
그린 저기도 창애
그린 모두 창애
그림이네 믿을 수
있으니까 역시 똑똑한
죽으라면 환경수도 창원에서 자한 명품
농산물 창의
그림",2011
2011-02-02,"Yes Hello My name is
Daniel Thank you
very much foring spe
today also Thank you
foring frw
regulations
Japan
of
includ for Japanese
police from entering
us bases without
permission And also
It stipulates that
US authorities do
not need to handover
suspected criminals
to Japan prior to
ind when I visited
okinawa I went to
guinan City where
located top of city
hall was large sign
entrance
CY from your own
position How would
you would you be in
favor of rision in
what way
that
가
메
도
아
나
ure minister I did
give out
instructions that
revisions should be
put on the table
anded and some
actions were taken
in this regard
However I remember
very very clearly
that the United
States had a very
very position in
regard to this
matter There was
great resistance on
their part to
revising to any
Major revision of
sofa However we did
make I believe some
progress in
particular in regard
to environmental
issues for example
we did have
discussion
some
thean come thee and
look at fac And at
the situation and to
do enough research
investigation in to
this matter I did
rece the resp that
some kind of ches
would be something
that
doon
acci they would be
to discuss some kind
of relx of the rules
However going back I
believe that There
was fundamental
tremendous
resistance on the
part of the United
States to basic
provisions of S but
just getting the
conversation started
about the
environment related
issues I think was a
first step in this
direction I believe
that over time for
example the issues
that you mentioned
if There is an
accident It is only
natural that the
police should be
able to go in and
investigate the
situation if a
suspect is being h
they should be able
to the should be
able to have
access things such
as that should in
the future I believe
be resolved and some
should be made
having said this
However in my
current position
this is As far as I
can say the only
thing that I Can Say
in conclusion is
that regardless of
How much time it
might take these
negotiations must be",2011
2011-02-08,"여보 우리가 평소에
쉽게 할 수 있는 녹색 습관이 뭐가
있을까 자기야 내가 환경을 위해서
얼마나 신경 쓰는데
그래 그럼
어디 한번 살펴볼까
이봐 이봐 이봐 이봐 이봐 나도
모르고 당신도 모르는 사이에 벌써
온도가 이렇게 높게 올라갔잖아
어머 집안 온도가 이렇게 높았나
상식이잖아 상식이잖아 그냥 낭비하는
거잖아 이게 도대체 돈이 얼마야 그냥
그냥
자기야
그래도 내가 확실히 잘하는게 있다고
응
정말
음식은 먹을만큼만 조리하고 남기지
않는가
든든한 우리 남편 알뜰한 우리 자기
녹색 습관으로
경제도 살리고 지구도 살리고 사랑도
키우는 우리는
녹색 부부
이 캠페인은 YBM 영서방송
그린스타트 원주 네트워크 원주
지속가능 발전 협의회
원주시가 함께합니다",2011
