title,link,view,upload_date
[기후환경 리포트] 한국은 결국 세계를 바꿀 것‥지금 부족한 건 단 하나 (2023.10.09/뉴스투데이/MBC),https://youtube.com/watch?v=LZEq-dZQ9S4&pp=ygUG7ZmY6rK9,130만회,6개월 전
"[자막뉴스] 어떻게 가능해?...청바지, 해양 환경 오염 막는다! / YTN",https://youtube.com/watch?v=7G3nASHldlE&pp=ygUG7ZmY6rK9,123만회,5개월 전
??지구의 날 특집! 소중한 지구를 위한 환경 동요 BEST 10 | 초록초록 지구 | 환경동요 | 동요 연속재생 | 주니토니 | JunyTony,https://youtube.com/watch?v=YMxnGIyGEbQ&pp=ygUG7ZmY6rK9,34만회,11개월 전
"환경탐정 푸루, 점점 더 뜨거워지는 지구",https://youtube.com/watch?v=eLDHWRrDkoc&pp=ygUG7ZmY6rK9,22만회,9년 전
환경오염송 | 과학송 | 과학노래 | 과학동요 | 초등과학 | 깨비키즈 KEBIKIDS,https://youtube.com/watch?v=NBf3yh0BQ14&pp=ygUG7ZmY6rK9,495만회,5년 전
"당신이 넷플릭스, 유튜브 같은 영상 볼 때마다 환경이 오염되는 이유 / 스브스뉴스",https://youtube.com/watch?v=0zzXc9qN1C0&pp=ygUG7ZmY6rK9,49만회,4년 전
"[2022 방통위 방송대상 수상작] 오늘 당신이 버린 옷, 어디로 갔을까?  (KBS  20210701 방송)",https://youtube.com/watch?v=gw5PdqOiodU&pp=ygUG7ZmY6rK9,117만회,1년 전
김상욱 교수 | 지구 온난화의 주범은 '인간'일까 '태양'일까? 과학적 팩트로 알아보는 기후 위기의 핵심 [환경읽어드립니다],https://youtube.com/watch?v=qLXJlHoSz8w&pp=ygUG7ZmY6rK9,615만회,2년 전
그 많던 플라스틱 쓰레기는 다 어디로 갔을까? 지구환경에 대한 고찰 | 대멸종 | 인류세 | 다큐프라임 | #골라듄다큐,https://youtube.com/watch?v=x9teM7gbizk&pp=ygUG7ZmY6rK9,10만회,1년 전
환경사랑송&율동,https://youtube.com/watch?v=QiIzXwLntBs&pp=ygUG7ZmY6rK9,15만회,5년 전
김경일 교수 | 왜 우리는 기후 변화를 무서워하지 않을까? 환경의 중요성을 간과하는 인간의 심리 [환경읽어드립니다],https://youtube.com/watch?v=z0rr_1uSazc&pp=ygUG7ZmY6rK9,15만회,2년 전
지구가 아파요~T^T 우리 환경의 경고! 환경동화 동요 애니메이션 모음 ★지니키즈,https://youtube.com/watch?v=QRXHTOgTuY8&pp=ygUG7ZmY6rK9,125만회,7년 전
"최고다! 호기심딱지 시즌4 - 지구의 위기, 지구 온난화!",https://youtube.com/watch?v=BmadYeBpmDY&pp=ygUG7ZmY6rK9,44만회,3년 전
